Request Name,API URL,Status,Status Code,Request Method,Response Time (ms),Response Size (bytes),Assertions Passed,Assertions Failed,QAA_Result
Merchant Login,https://qa-parrotapiv2.serino.com/api/v1/auth/login,OK,200,POST,1925,4784,1,0,Passed
Employee Login,https://qa-parrotapiv2.serino.com/api/v1/auth/employee-login,OK,200,POST,1008,6959,1,0,Passed
Get Products,https://qa-parrotapiv2.serino.com/api/v1/products?page=1&size=20&sort=createdAt.desc&branch_id=12&name=Otis,OK,200,GET,64,180,1,0,Passed
Get Product by Branch ID and Sku,https://qa-parrotapiv2.serino.com/api/v1/products/branch/12/sku/KJ100001,OK,200,GET,59,2403,1,0,Passed
Get Table by Merchant ID and Branch ID,https://qa-parrotapiv2.serino.com/api/v1/tables/merchant/KJ-0001/branch/12,OK,200,GET,50,1797,1,0,Passed
Update Table Status to Available,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/Popeyes/branch/12,OK,200,PATCH,60,256,1,0,Passed
Create Order,https://qa-parrotapiv2.serino.com/api/v1/orders,Created,201,POST,101,2550,1,0,Passed
Get Order by UUID,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,60,2548,1,0,Passed
Update Table Status to Occupied,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/KJ-0001/branch/12,OK,200,PATCH,65,1767,1,0,Passed
Accept & Prepare Order,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/order_status,OK,200,PATCH,127,83,1,0,Passed
Accept & Prepare Item,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/items/59640343-05d1-4f5c-89d8-ec151604b0de/item_status,OK,200,PATCH,161,3097,1,0,Passed
Verify if Status is Accepted & Prepared,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,58,3097,1,0,Passed
Ready Order,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/order_status,OK,200,PATCH,126,83,1,0,Passed
Ready Item,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/items/59640343-05d1-4f5c-89d8-ec151604b0de/item_status,OK,200,PATCH,160,3589,1,0,Passed
Verify if Status is Readied,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,64,3589,1,0,Passed
Serve Order,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/order_status,OK,200,PATCH,125,83,1,0,Passed
Serve Item,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/items/59640343-05d1-4f5c-89d8-ec151604b0de/item_status,OK,200,PATCH,161,4120,1,0,Passed
Verify if Status is Served,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,63,4120,1,0,Passed
Complete Order,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/order_status,OK,200,PATCH,125,83,1,0,Passed
Verify if Order is Completed,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,57,4326,1,0,Passed
Get Promo,https://qa-parrotapiv2.serino.com/api/v1/promos?page=1&size=4&sort=createdAt.desc&promo_type=KJ,OK,200,GET,273,3367,0,0,Passed
Get Order by UUID,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,61,4326,1,0,Passed
Add Order Payment,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/payment-details,Created,201,POST,186,4701,1,0,Passed
Update Payment Status,https://qa-parrotapiv2.serino.com/api/v2/orders/c946b713-79df-49ff-8f91-3a7776110b7e/payment_status,OK,200,PATCH,60,83,1,0,Passed
Verify if Order is Paid,https://qa-parrotapiv2.serino.com/api/v1/orders/c946b713-79df-49ff-8f91-3a7776110b7e,OK,200,GET,60,4701,1,0,Passed
Update Table Status to ReAvailable,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/KJ-0001/branch/12,OK,200,PATCH,61,1768,1,0,Passed
