Request Name,API URL,Status,Status Code,Request Method,Response Time (ms),Response Size (bytes),Assertions Passed,Assertions Failed,QAA_Result
Merchant Login,https://qa-parrotapiv2.serino.com/api/v1/auth/login,OK,200,POST,5704,4784,1,0,Passed
Employee Login,https://qa-parrotapiv2.serino.com/api/v1/auth/employee-login,OK,200,POST,1242,6959,1,0,Passed
Get Products,https://qa-parrotapiv2.serino.com/api/v1/products?page=1&size=20&sort=createdAt.desc&branch_id=12&name=Otis,OK,200,GET,71,180,1,0,Passed
Get Product by Branch ID and Sku,https://qa-parrotapiv2.serino.com/api/v1/products/branch/12/sku/KJ100001,OK,200,GET,57,2403,1,0,Passed
Get Table by Merchant ID and Branch ID,https://qa-parrotapiv2.serino.com/api/v1/tables/merchant/KJ-0001/branch/12,OK,200,GET,47,1797,1,0,Passed
Update Table Status to Available,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/Popeyes/branch/12,OK,200,PATCH,61,256,1,0,Passed
Create Order,https://qa-parrotapiv2.serino.com/api/v1/orders,Created,201,POST,106,2549,1,0,Passed
Get Order by UUID,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,61,2547,1,0,Passed
Update Table Status to Occupied,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/KJ-0001/branch/12,OK,200,PATCH,67,1767,1,0,Passed
Accept & Prepare Order,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/order_status,OK,200,PATCH,128,83,1,0,Passed
Accept & Prepare Item,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/items/cf453435-c9da-48af-852c-f21a1f59b7ce/item_status,OK,200,PATCH,158,3096,1,0,Passed
Verify if Status is Accepted & Prepared,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,63,3096,1,0,Passed
Ready Order,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/order_status,OK,200,PATCH,125,83,1,0,Passed
Ready Item,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/items/cf453435-c9da-48af-852c-f21a1f59b7ce/item_status,OK,200,PATCH,159,3588,1,0,Passed
Verify if Status is Readied,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,60,3588,1,0,Passed
Serve Order,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/order_status,OK,200,PATCH,125,83,1,0,Passed
Serve Item,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/items/cf453435-c9da-48af-852c-f21a1f59b7ce/item_status,OK,200,PATCH,161,4119,1,0,Passed
Verify if Status is Served,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,57,4119,1,0,Passed
Complete Order,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/order_status,OK,200,PATCH,124,83,1,0,Passed
Verify if Order is Completed,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,56,4325,1,0,Passed
Get Promo,https://qa-parrotapiv2.serino.com/api/v1/promos?page=1&size=4&sort=createdAt.desc&promo_type=KJ,OK,200,GET,675,3367,0,0,Passed
Get Order by UUID,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,61,4325,1,0,Passed
Add Order Payment,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/payment-details,Created,201,POST,321,4700,1,0,Passed
Update Payment Status,https://qa-parrotapiv2.serino.com/api/v2/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe/payment_status,OK,200,PATCH,60,83,1,0,Passed
Verify if Order is Paid,https://qa-parrotapiv2.serino.com/api/v1/orders/ec0bd182-c5ef-4735-a222-6ad89bc217fe,OK,200,GET,58,4700,1,0,Passed
Update Table Status to ReAvailable,https://qa-parrotapiv2.serino.com/api/v1/tables/status/merchant/KJ-0001/branch/12,OK,200,PATCH,63,1768,1,0,Passed
